Name,Date,Description,URL
Principales Benchmarks,"December 8, 2025","Es un mapa global de casos y plataformas que usan inteligencia artificial para fortalecer la participación ciudadana y la inteligencia colectiva en gobiernos, organizado por regiones, funciones de IA, evidencias y lecciones clave.",https://horizonsarchitecure.notion.site/Principales-Benchmarks-2c6e568adb8280bea9d3faf6ceb6ded1?source=copy_link
Diseño de proceso 08.12.2025 (v.00),"December 8, 2025","Es el diseño completo, en 12 fases, del sistema de Inteligencia Colectiva de Querétaro (SIC‑Q), desde cómo las personas entran, participan y generan datos hasta cómo la IA los procesa, el gobierno decide, devuelve feedback y se crea un ciclo virtuoso de confianza y participación cívica.",https://horizonsarchitecure.notion.site/Dise-o-de-proceso-08-12-2025-v-00-2c6e568adb8280069802fcec22a8c189?source=copy_link
Reflexiones sobre feedback de llamada del 08.12.2026,"December 15, 2025","Es una síntesis estructurada del feedback de la llamada del 08.12.2026, organizada por participante, que recoge elogios, preocupaciones, sugerencias, puntos de consenso y temas pendientes para afinar el diseño y la implementación del SIC‑Q.",https://horizonsarchitecure.notion.site/Reflexiones-sobre-feedback-de-llamada-del-08-12-2026-2cae568adb8280fba1a7f118e88a193b?source=copy_link
SIC-Q Prototipo v.01,"December 15, 2025","Es el primer prototipo navegable del Sistema de Inteligencia Colectiva de Querétaro (SIC‑Q), que permite explorar la experiencia básica de registro y participación ciudadana basada en el diseño de 12 fases.",https://sic-q-app.horizonsarchitecture.ai/
Literatura en Inteligencia Colectiva e IA,"December 15, 2025","Literatura curada de trabajos teóricos, plataformas y sistemas de deliberación mediados por IA que muestran cómo la inteligencia colectiva puede operar a gran escala, desde millones de participantes en Wikipedia y Zooniverse hasta procesos cívicos como presupuestos participativos y vTaiwan con http://Pol.is.  Esto es para que nosotros y el sistema de IA entienda los conceptos.",https://horizonsarchitecure.notion.site/Literatura-en-Inteligencia-Colectiva-e-IA-2cae568adb8280f2bb9fdf88a7e99643?source=copy_link
Diseño de proceso 22.12.2025,"December 22, 2025","Se actualizó: citizens-journey/experiencia-plataforma.ascii: renombré VOTAR→IMPULSAR e IMPULSAR→TRANSFORMAR, agrega CONVERSAR
y su journey completo, reemplacé “votos” por “likes” con aclaración de
revisión por comité, y alinea/embellece la maqueta ASCII (menú, flujos y
diagrama final).",https://horizonsarchitecure.notion.site/Dise-o-de-proceso-22-12-2025-2d1e568adb82807e9adcee4e8071ce29?source=copy_link
Código de ética v.00,"December 22, 2025","Primera versión de un código de ética ciudadano para SIC-Q que establece principios, derechos, privacidad, uso responsable de datos e IA, y reglas claras de interacción y   gobernanza.",https://horizonsarchitecure.notion.site/C-digo-de-tica-v-00-2d1e568adb8280aebc3ff70baaabda6f?source=copy_link
Nueva versión del diseño del proceso (diagrama),"December 22, 2025",,https://horizonsarchitecure.notion.site/Nueva-versi-n-del-dise-o-del-proceso-diagrama-2d1e568adb828001a728f5d674638a26?source=copy_link
Agente de IA,"December 23, 2025",Primer agente de SIC-Q,https://sic-q.horizonsarchitecture.ai/?token=wiE4rGpB4iWABx6CPDT0o2fd4tX6zEY6s6jCqdgGCV5ckaUlA56s7OW3
Sugerencias metodológicas para el diseño inicial del SIC-Q,"January 5, 2026","Metodología de diseño participativo para co-crear y validar el SIC‑Q en 6 semanas, organizada en 4 actividades (talleres, conversaciones con IA, encuesta y mesas técnicas) basadas en las 6 dimensiones de HA, con participantes definidos, cronograma y entregables claros.https://www.notion.so/Sugerencias-metodol-gicas-para-el-dise-o-inicial-del-SIC-Q-2dfe568adb828073a208d74b891c187f?pvs=21",https://horizonsarchitecure.notion.site/Sugerencias-metodol-gicas-para-el-dise-o-inicial-del-SIC-Q-2dfe568adb828073a208d74b891c187f?source=copy_link
